sectionid,fieldid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype
c-level-executives,industry-experience,dropdown,What is their industry experience?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_experience"",""value"":""No relevant industry experience""},{""id"":""some_experience"",""value"":""Some industry exposure but not extensive""},{""id"":""5_plus_years"",""value"":""5+ years in the same industry""}]",,
c-level-executives,investor-participation,dropdown,Does this executive participate in investor relations and board meetings?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""only_ceo"",""value"":""No, only the CEO interacts with investors""},{""id"":""occasionally"",""value"":""Occasionally involved in investor discussions""},{""id"":""regularly"",""value"":""Regularly engages with investors and board members""}]",,
c-level-executives,strategic-involvement,dropdown,How involved is this executive in strategic decision-making?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""minimal"",""value"":""Minimal involvement, execution-focused""},{""id"":""some_input"",""value"":""Some input, but not leading key initiatives""},{""id"":""fully_engaged"",""value"":""Fully engaged in strategy and company vision""}]",,
established-departments,departments,dropdown,Which of the following departments are formally established in your company?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""marketing"",""value"":""Marketing & Growth""},{""id"":""sales"",""value"":""Sales & Business Development""},{""id"":""finance"",""value"":""Finance & Accounting""},{""id"":""procurement"",""value"":""Procurement & Supply Chain""},{""id"":""legal"",""value"":""Legal & Compliance""},{""id"":""hr"",""value"":""Human Resources (HR)""},{""id"":""data"",""value"":""Data & Analytics""},{""id"":""customer_support"",""value"":""Customer Support & Success""},{""id"":""technology"",""value"":""Technology & IT""},{""id"":""product"",""value"":""Product Management""},{""id"":""engineering"",""value"":""Software Development & Engineering""},{""id"":""ops"",""value"":""Operations & Logistics""},{""id"":""rnd"",""value"":""Research & Development (R&D)""},{""id"":""other"",""value"":""Other (please specify)""},{""id"":""less_than_3"",""value"":""Less than 3 departments""},{""id"":""3_4"",""value"":""3-4 departments""},{""id"":""5_6"",""value"":""5-6 departments""},{""id"":""7_9"",""value"":""7-9 departments""},{""id"":""10_plus"",""value"":""10+ departments""}]",,
department-kpis,department-kpis,dropdown,Does each department have clear ownership of KPIs and performance metrics?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_kpis"",""value"":""No clear KPIs, performance is not measured""},{""id"":""some_kpis"",""value"":""Some KPIs exist, but tracking is inconsistent""},{""id"":""yes_kpis"",""value"":""Yes, department KPIs are defined, tracked, and optimized""}]",,
internal-tools,internal-tools,dropdown,What tools or platforms are used for internal collaboration?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_tools"",""value"":""No tools, communication is unstructured""},{""id"":""some_tools"",""value"":""Some tools, but communication is still fragmented""},{""id"":""centralized_tools"",""value"":""Centralized project management and communication tools (Slack, Asana, Jira, etc.)""}]",,
reporting-system,reporting-system,dropdown,Are all department heads required to submit periodic reports on performance and progress?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_reporting"",""value"":""No formal reporting system, performance tracking is ad hoc""},{""id"":""inconsistent_reporting"",""value"":""Some reporting exists, but inconsistently tracked""},{""id"":""structured_reporting"",""value"":""Yes, monthly/quarterly structured reports exist""}]",,
scalability,scalability,dropdown,How resilient is the company s department structure in handling rapid scaling?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""not_prepared"",""value"":""The company is not structurally prepared for rapid growth""},{""id"":""some_gaps"",""value"":""Some departments are scalable, but gaps exist""},{""id"":""fully_scalable"",""value"":""Departments are structured for scalability and can handle rapid expansion""}]",,
career-progression,career-paths,dropdown,How well-defined are the career progression paths within each department?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_structure"",""value"":""No structured career growth plans""},{""id"":""some_structure"",""value"":""Some career progression structure exists, but not fully developed""},{""id"":""clear_paths"",""value"":""Clear promotion paths & professional development programs""}]",,
leadership-hiring,leadership-hiring,dropdown,How frequently are internal promotions vs. external hires made for leadership roles?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""mostly_external"",""value"":""Mostly external hires, little internal growth""},{""id"":""mixed"",""value"":""Mix of internal promotions and external hires""},{""id"":""mostly_internal"",""value"":""Majority of leadership positions filled through internal promotions""}]",,
global-workflows,global-workflow,dropdown,Are interdepartmental workflows optimized for multi-location or global operations?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_global"",""value"":""No global operations or processes are still manual""},{""id"":""some_structure"",""value"":""Some structure, but inefficiencies still exist""},{""id"":""fully_optimized"",""value"":""Yes, fully structured processes for global teams""}]",,
compliance,compliance-dept,dropdown,Does the company have a dedicated compliance or risk management department?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""no_compliance"",""value"":""No structured compliance process""},{""id"":""some_compliance"",""value"":""Some compliance oversight, but no dedicated department""},{""id"":""yes_compliance"",""value"":""Yes, fully developed compliance team""}]",,
department-optimization,department-review,dropdown,How frequently does the company restructure or optimize its departments?,,,true,"z.string().min(1, ""This field is required"")","[{""id"":""never"",""value"":""No structured review, departments remain static""},{""id"":""occasionally"",""value"":""Occasionally, but not on a set schedule""},{""id"":""6_12_months"",""value"":""Every 6-12 months to match scaling needs""}]",,
