sectionid,fieldid,type,label,placeholder,description,required,validation,options,flowinjection,extractiontype
c-level-executive-evaluation,strategic-decision-involvement,dropdown,How involved is this executive in strategic decision-making?,,,true,"z.enum([""minimal_involvement"", ""some_input"", ""fully_engaged""], { required_error: ""Please select strategic decision involvement level"" })","[{""id"":""minimal_involvement"",""value"":""Minimal involvement, execution-focused""},{""id"":""some_input"",""value"":""Some input, but not leading key initiatives""},{""id"":""fully_engaged"",""value"":""Fully engaged in strategy and company vision""}]",,
department-structure-evaluation,departments-established,dropdown,Which of the following departments are formally established in your company? (Select all that apply),,,true,"z.array(z.enum([""marketing_growth"", ""sales_dev"", ""finance_accounting"", ""procurement_supply_chain"", ""legal_compliance"", ""hr"", ""data_analytics"", ""customer_support"", ""tech_it"", ""product_management"", ""software_dev"", ""ops_logistics"", ""r_and_d"", ""other""])).min(1, ""Please select at least one established department"")","[{""id"":""marketing_growth"",""value"":""Marketing & Growth""},{""id"":""sales_dev"",""value"":""Sales & Business Development""},{""id"":""finance_accounting"",""value"":""Finance & Accounting""},{""id"":""procurement_supply_chain"",""value"":""Procurement & Supply Chain""},{""id"":""legal_compliance"",""value"":""Legal & Compliance""},{""id"":""hr"",""value"":""Human Resources (HR)""},{""id"":""data_analytics"",""value"":""Data & Analytics""},{""id"":""customer_support"",""value"":""Customer Support & Success""},{""id"":""tech_it"",""value"":""Technology & IT""},{""id"":""product_management"",""value"":""Product Management""},{""id"":""software_dev"",""value"":""Software Development & Engineering""},{""id"":""ops_logistics"",""value"":""Operations & Logistics""},{""id"":""r_and_d"",""value"":""Research & Development (R&D)""},{""id"":""other"",""value"":""Other (please specify)""}]",,
department-structure-evaluation,departments-count,dropdown,How many departments are formally established?,,,true,"z.enum([""less_than_3"", ""3_to_4"", ""5_to_6"", ""7_to_9"", ""10_plus""], { required_error: ""Please select number of departments"" })","[{""id"":""less_than_3"",""value"":""Less than 3 departments""},{""id"":""3_to_4"",""value"":""3-4 departments""},{""id"":""5_to_6"",""value"":""5-6 departments""},{""id"":""7_to_9"",""value"":""7-9 departments""},{""id"":""10_plus"",""value"":""10+ departments""}]",,
department-structure-evaluation,department-head-education,dropdown,What is the highest level of education for the department head?,,,true,"z.enum([""no_degree"", ""bachelors"", ""masters"", ""phd""], { required_error: ""Please select department head education level"" })","[{""id"":""no_degree"",""value"":""No formal degree""},{""id"":""bachelors"",""value"":""Bachelor's degree""},{""id"":""masters"",""value"":""Master's degree (MBA, MSc, etc.)""},{""id"":""phd"",""value"":""PhD or specialized certification""}]",,
department-structure-evaluation,department-head-experience,dropdown,How many years of experience does the department head have in this function?,,,true,"z.enum([""less_than_3_years"", ""3_to_5_years"", ""6_to_10_years"", ""10_plus_years""], { required_error: ""Please select department head experience level"" })","[{""id"":""less_than_3_years"",""value"":""Less than 3 years""},{""id"":""3_to_5_years"",""value"":""3-5 years""},{""id"":""6_to_10_years"",""value"":""6-10 years""},{""id"":""10_plus_years"",""value"":""10+ years""}]",,
department-structure-evaluation,department-head-startup-experience,dropdown,Has this department head previously worked in a startup or high-growth company?,,,true,"z.enum([""no_startup_experience"", ""some_exposure"", ""extensive_startup_experience""], { required_error: ""Please select department head startup experience"" })","[{""id"":""no_startup_experience"",""value"":""No prior startup experience""},{""id"":""some_exposure"",""value"":""Some exposure but no leadership role""},{""id"":""extensive_startup_experience"",""value"":""Extensive startup experience in a similar role""}]",,
department-structure-evaluation,department-team-size,dropdown,How many employees currently work in this department?,,,true,"z.enum([""1_to_3_employees"", ""4_to_7_employees"", ""8_to_12_employees"", ""13_plus_employees""], { required_error: ""Please select department team size"" })","[{""id"":""1_to_3_employees"",""value"":""1-3 employees""},{""id"":""4_to_7_employees"",""value"":""4-7 employees""},{""id"":""8_to_12_employees"",""value"":""8-12 employees""},{""id"":""13_plus_employees"",""value"":""13+ employees""}]",,
department-structure-evaluation,experienced-employees-percentage,dropdown,What percentage of employees in this department have 5+ years of experience in their field?,,,true,"z.enum([""less_than_20_percent"", ""20_to_50_percent"", ""more_than_50_percent""], { required_error: ""Please select experienced employees percentage"" })","[{""id"":""less_than_20_percent"",""value"":""Less than 20%""},{""id"":""20_to_50_percent"",""value"":""20-50%""},{""id"":""more_than_50_percent"",""value"":""More than 50%""}]",,
department-structure-evaluation,performance-review-frequency,dropdown,How frequently does this department conduct performance reviews?,,,true,"z.enum([""no_reviews"", ""yearly"", ""bi_annually"", ""quarterly""], { required_error: ""Please select performance review frequency"" })","[{""id"":""no_reviews"",""value"":""No structured performance evaluation""},{""id"":""yearly"",""value"":""Once a year""},{""id"":""bi_annually"",""value"":""Twice a year""},{""id"":""quarterly"",""value"":""Every quarter""}]",,
department-structure-evaluation,workflow-tools-usage,dropdown,Does this department use dedicated tools/software to manage workflows?,,,true,"z.enum([""no_tools"", ""some_tools"", ""fully_equipped""], { required_error: ""Please select workflow tools usage level"" })","[{""id"":""no_tools"",""value"":""No specialized tools, processes are manual""},{""id"":""some_tools"",""value"":""Some tools available, but limited functionality""},{""id"":""fully_equipped"",""value"":""Yes, fully equipped with industry-standard tools""}]",,
department-structure-evaluation,process-documentation,dropdown,Does this department have documented processes for its core functions?,,,true,"z.enum([""no_documentation"", ""some_documentation"", ""fully_documented""], { required_error: ""Please select process documentation level"" })","[{""id"":""no_documentation"",""value"":""No formal documentation, operations rely on verbal coordination""},{""id"":""some_documentation"",""value"":""Some processes are documented, but not consistently followed""},{""id"":""fully_documented"",""value"":""Yes, all workflows are documented and followed""}]",,
department-structure-evaluation,process-review-frequency,dropdown,How often are departmental processes reviewed and updated?,,,true,"z.enum([""never"", ""yearly"", ""bi_annually"", ""quarterly""], { required_error: ""Please select process review frequency"" })","[{""id"":""never"",""value"":""Never or informally reviewed""},{""id"":""yearly"",""value"":""Once a year""},{""id"":""bi_annually"",""value"":""Twice a year""},{""id"":""quarterly"",""value"":""Quarterly""}]",,
department-structure-evaluation,bottleneck-resolution,dropdown,How are bottlenecks in workflows typically identified and resolved?,,,true,"z.enum([""no_method"", ""informal_discussions"", ""data_driven""], { required_error: ""Please select bottleneck resolution method"" })","[{""id"":""no_method"",""value"":""No structured method, issues are resolved reactively""},{""id"":""informal_discussions"",""value"":""Informal discussions and problem-solving""},{""id"":""data_driven"",""value"":""Data-driven approach (KPIs, tracking, dashboards)""}]",,
department-kpis-performance,department-kpis,dropdown,Does each department have clear ownership of KPIs and performance metrics?,,,true,"z.enum([""no_kpis"", ""some_kpis"", ""clear_kpis""], { required_error: ""Please select KPIs ownership level"" })","[{""id"":""no_kpis"",""value"":""No clear KPIs, performance is not measured""},{""id"":""some_kpis"",""value"":""Some KPIs exist, but tracking is inconsistent""},{""id"":""clear_kpis"",""value"":""Yes, department KPIs are defined, tracked, and optimized""}]",,
internal-collaboration-tools,collaboration-tools,dropdown,What tools or platforms are used for internal collaboration?,,,true,"z.enum([""no_tools"", ""some_tools"", ""centralized_tools""], { required_error: ""Please select collaboration tools level"" })","[{""id"":""no_tools"",""value"":""No tools, communication is unstructured""},{""id"":""some_tools"",""value"":""Some tools, but communication is still fragmented""},{""id"":""centralized_tools"",""value"":""Centralized project management and communication tools (Slack, Asana, Jira, etc.)""}]",,
department-reporting-system,periodic-reports,dropdown,Are all department heads required to submit periodic reports on performance and progress?,,,true,"z.enum([""no_reporting"", ""some_reporting"", ""structured_reporting""], { required_error: ""Please select reporting system level"" })","[{""id"":""no_reporting"",""value"":""No formal reporting system, performance tracking is ad hoc""},{""id"":""some_reporting"",""value"":""Some reporting exists, but inconsistently tracked""},{""id"":""structured_reporting"",""value"":""Yes, monthly/quarterly structured reports exist""}]",,
scalability-resilience,scalability-resilience,dropdown,How resilient is the company's department structure in handling rapid scaling?,,,true,"z.enum([""not_prepared"", ""partially_scalable"", ""structured_for_scalability""], { required_error: ""Please select scalability resilience level"" })","[{""id"":""not_prepared"",""value"":""The company is not structurally prepared for rapid growth""},{""id"":""partially_scalable"",""value"":""Some departments are scalable, but gaps exist""},{""id"":""structured_for_scalability"",""value"":""Departments are structured for scalability and can handle rapid expansion""}]",,
career-progression-paths,career-progression,dropdown,How well-defined are the career progression paths within each department?,,,true,"z.enum([""no_growth_plans"", ""some_structure"", ""clear_paths""], { required_error: ""Please select career progression structure level"" })","[{""id"":""no_growth_plans"",""value"":""No structured career growth plans""},{""id"":""some_structure"",""value"":""Some career progression structure exists, but not fully developed""},{""id"":""clear_paths"",""value"":""Clear promotion paths & professional development programs""}]",,
internal-vs-external-hires,hiring-pattern,dropdown,How frequently are internal promotions vs. external hires made for leadership roles?,,,true,"z.enum([""mostly_external"", ""mix_internal_external"", ""mostly_internal""], { required_error: ""Please select hiring pattern"" })","[{""id"":""mostly_external"",""value"":""Mostly external hires, little internal growth""},{""id"":""mix_internal_external"",""value"":""Mix of internal promotions and external hires""},{""id"":""mostly_internal"",""value"":""Majority of leadership positions filled through internal promotions""}]",,
global-operations-optimization,global-operations,dropdown,Are interdepartmental workflows optimized for multi-location or global operations?,,,true,"z.enum([""no_global_ops"", ""some_structure"", ""fully_structured""], { required_error: ""Please select global operations optimization level"" })","[{""id"":""no_global_ops"",""value"":""No global operations or processes are still manual""},{""id"":""some_structure"",""value"":""Some structure, but inefficiencies still exist""},{""id"":""fully_structured"",""value"":""Yes, fully structured processes for global teams""}]",,
compliance-risk-management,compliance-risk,dropdown,Does the company have a dedicated compliance or risk management department?,,,true,"z.enum([""no_compliance"", ""some_oversight"", ""dedicated_team""], { required_error: ""Please select compliance and risk management level"" })","[{""id"":""no_compliance"",""value"":""No structured compliance process""},{""id"":""some_oversight"",""value"":""Some compliance oversight, but no dedicated department""},{""id"":""dedicated_team"",""value"":""Yes, fully developed compliance team""}]",,
department-restructuring-frequency,restructuring-frequency,dropdown,How frequently does the company restructure or optimize its departments?,,,true,"z.enum([""no_review"", ""occasionally"", ""every_6_to_12_months""], { required_error: ""Please select restructuring frequency"" })","[{""id"":""no_review"",""value"":""No structured review, departments remain static""},{""id"":""occasionally"",""value"":""Occasionally, but not on a set schedule""},{""id"":""every_6_to_12_months"",""value"":""Every 6-12 months to match scaling needs""}]",,
